PLOT_CODE,TYPHA_PRESENT,SITE,REFERENCE,SAMPLE_YEAR,TYPE,INLAND,SHEAR_BOOM,LOG_FENCE,OFFSHORE_STRUCTURE,CREATION_YR,AGE,SAMPLING_AGE,AREA_MAPPED,AREA_INTENDED,RIVER,ARM,M_UPRIVER,KM_UPRIVER,GRAZING,ELEVATION,ELEV_ADJ,ELEV_ADJ_D,PROX_CHAN,CARELYN_MH,ALL_RICH,NAT_RICH,NN_RICH,SHANN,SIMP,RC_Native,RC_NonNative,RC_Invasive,RC_Unknown
01-008-1-01,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.179999948,0.979999948,9.79999948,23.7,NA,5,2,3,0.214559,0.104938,27.4809,1.5267,70.9924,0
01-008-1-02,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.059999943,1.059999943,10.59999943,15.73,89,9,7,2,1.474824,0.714581,94.8052,2.5974,0,2.5974
01-008-1-03,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.139999986,0.939999986,9.39999986,16.83,NA,5,4,1,0.936637,0.560628,96.1039,3.8961,0,0
01-008-1-04,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.00999999,0.80999999,8.0999999,10.74,116,15,12,3,1.985816,0.83116,95.6522,2.1739,0,2.1739
01-008-1-05,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.389999986,1.189999986,11.89999986,10.16,154,6,6,0,1.451225,0.731302,100,0,0,0
01-008-1-06,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.080000043,0.880000043,8.80000043,17.94,NA,12,10,2,1.225245,0.532376,95.4545,4.5455,0,0
01-008-1-07,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.149999976,0.949999976,9.49999976,9.61,151,13,9,4,0.829226,0.343572,84.466,11.6505,3.8835,0
01-008-1-08,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,0.970000029,0.770000029,7.70000029,16.84,130,9,7,2,0.991479,0.558678,96.4912,1.1696,2.3392,0
01-008-1-09,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.139999986,0.939999986,9.39999986,20.33,92,9,7,2,0.994008,0.467724,91.25,1.25,7.5,0
01-008-1-10,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.100000024,0.900000024,9.00000024,16.86,151,15,11,4,1.672909,0.746431,75.2294,3.6697,20.1835,0.9174
01-008-1-11,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.019999981,0.819999981,8.19999981,8.51,77,5,5,0,1.217814,0.658206,100,0,0,0
01-008-1-12,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.080000043,0.880000043,8.80000043,7.24,NA,10,7,3,0.547489,0.218233,95.7746,2.3474,1.8779,0
01-008-1-13,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.070000052,1.070000052,10.70000052,18.93,NA,8,6,2,1.638506,0.78,95.2381,2.381,2.381,0
01-008-1-14,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.110000014,0.910000014,9.10000014,18.06,127,16,11,5,1.52963,0.675095,80.7229,6.0241,12.0482,1.2048
01-008-1-15,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.019999981,0.819999981,8.19999981,10.83,45,11,9,2,1.590491,0.743211,77,23,0,0
01-008-1-16,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.019999981,0.819999981,8.19999981,7.66,115,15,10,5,1.387055,0.615634,51.2931,28.8793,6.8966,12.931
01-008-1-17,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.399999976,1.199999976,11.99999976,11.33,142,12,9,3,1.115261,0.509803,95.814,4.186,0,0
01-008-1-18,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.139999986,0.939999986,9.39999986,13.62,182,11,9,2,1.016651,0.433379,97.2222,2.7778,0,0
01-008-1-19,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,1.090000033,0.890000033,8.90000033,15.29,98,11,7,4,0.646835,0.282819,92.2414,2.5862,1.7241,3.4483
01-008-1-20,yes,01-008,No,2015,Protruding,No,NO,NO,YES,2003,18,12,2269.75,2161,Fraser,North,21422,21.42,1,0.939999998,0.939999998,9.39999998,15.39,85,9,7,2,1.711547,0.782007,94.4444,2.7778,2.7778,0
02-001-1-10,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.939999998,0.74,7.4,25.39,NA,7,4,3,0.500618,0.24789,40.6114,44.5415,14.8472,0
02-001-1-13,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1.100000024,1.100000024,11.00000024,53.21,NA,7,5,2,1.258632,0.64373,47,45,8,0
02-001-1-14,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1.139999986,0.939999986,9.39999986,24.85,167,8,4,4,0.468123,0.214965,55.2846,30.8943,5.6911,8.1301
02-001-1-16,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1.080000043,1.080000043,10.80000043,31.65,NA,7,4,3,1.051752,0.60503,47.0588,45.7014,7.2398,0
02-001-1-2,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.819999993,0.619999993,6.19999993,32.61,167,8,4,4,0.736182,0.434048,89.4737,7.3684,2.1053,1.0526
02-001-1-20,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.800000012,0.600000012,6.00000012,46.64,NA,6,3,3,0.739911,0.50477,89.2157,3.9216,3.9216,2.9412
02-001-1-21,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1.039999962,0.839999962,8.39999962,42.79,99,10,6,4,1.124544,0.592628,47.9167,44.7917,7.2917,0
02-001-1-22,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.920000017,0.920000017,9.20000017,57.88,NA,12,6,6,0.913717,0.445348,54.6053,40.7895,3.9474,0.6579
02-001-1-23,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1,1,10,66.48,126,9,6,3,1.131235,0.535396,38.6792,52.8302,8.4906,0
02-001-1-24,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1,0.8,8,17.38,48,14,7,7,1.844621,0.828402,15.2941,10.5882,58.8235,15.2941
02-001-1-25,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1.129999995,1.129999995,11.29999995,33.69,90,10,6,4,1.193865,0.622249,35.3448,51.7241,6.0345,6.8966
02-001-1-26,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.819999993,0.819999993,8.19999993,34.99,153,5,3,2,0.844381,0.529974,78.3217,20.979,0,0.6993
02-001-1-27,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1.059999943,0.859999943,8.59999943,42.51,158,6,5,1,0.645275,0.295556,56.0748,43.9252,0,0
02-001-1-28,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1.00999999,1.00999999,10.0999999,47.99,NA,11,6,5,0.925716,0.424148,94.3662,2.1127,1.4085,2.1127
02-001-1-29,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.949999988,0.749999988,7.49999988,24.99,96,12,8,4,0.958893,0.421078,44.8,28,15.2,12
02-001-1-3,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.769999981,0.569999981,5.69999981,21.02,141,6,3,3,0.837897,0.536862,26.9006,18.1287,54.9708,0
02-001-1-33,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.810000002,0.610000002,6.10000002,34.77,171,6,3,3,0.84278,0.483471,48.8889,1.1111,50,0
02-001-1-36,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.910000026,0.710000026,7.10000026,33.64,135,7,4,3,1.055507,0.635728,97.5634,1.462,0,0.9747
02-001-1-37,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1.049999952,0.849999952,8.49999952,36.73,89,8,4,4,0.370954,0.16554,96.0227,3.4091,0,0.5682
02-001-1-38,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.689999998,0.489999998,4.89999998,34.83,184,6,4,2,0.608296,0.288438,97.561,1.2195,0,1.2195
02-001-1-4,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.469999999,0.269999999,2.69999999,26.59,62,14,8,6,1.237682,0.603189,79.397,2.0101,15.0754,3.5176
02-001-1-40,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.75999999,0.55999999,5.5999999,32.97,134,4,3,1,0.995027,0.592593,99.4475,0.5525,0,0
02-001-1-5,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1.00999999,1.00999999,10.0999999,19.4,85,5,3,2,0.419556,0.203018,13.5,82.5,4,0
02-001-1-6,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1.220000029,1.020000029,10.20000029,31.03,112,6,3,3,0.876006,0.540816,15.3005,49.7268,34.9727,0
02-001-1-7,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1.059999943,1.059999943,10.59999943,23.15,163,13,10,3,1.785929,0.77683,54.1985,24.4275,18.3206,3.0534
02-001-2-1,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.769999981,0.769999981,7.69999981,8.57,NA,2,1,1,0,0,14.2857,0,85.7143,0
02-001-2-11,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.50999999,0.50999999,5.0999999,29.27,NA,2,1,1,0,0,1.4085,98.5915,0,0
02-001-2-15,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.479999989,0.479999989,4.79999989,25.42,NA,2,0,2,0,1,0,66.6667,33.3333,0
02-001-2-17,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.529999971,0.529999971,5.29999971,42.7,NA,1,0,1,0,1,0,100,0,0
02-001-2-18,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.639999986,0.639999986,6.39999986,21.33,NA,5,3,2,0.867563,0.5,18.75,75,6.25,0
02-001-2-30,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.579999983,0.579999983,5.79999983,29.28,NA,2,0,2,0,1,0,50,50,0
02-001-2-34,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.449999988,0.449999988,4.49999988,22.01,NA,5,4,1,0.40451,0.170799,62.2642,37.7358,0,0
02-001-2-35,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.300000012,0.300000012,3.00000012,17.38,NA,3,2,1,0.636514,0.444444,5.8824,94.1176,0,0
02-001-2-39,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.50999999,0.50999999,5.0999999,7.33,NA,9,7,2,1.397205,0.622837,51.5152,12.1212,36.3636,0
02-001-2-8,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.519999981,0.519999981,5.19999981,6.73,NA,5,5,0,1.56071,0.777778,100,0,0,0
02-001-2-9,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.059999999,0.059999999,0.59999999,0.77,NA,2,1,1,0,0,50,50,0,0
02-001-3-15,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.709999979,0.709999979,7.09999979,6.41,51,11,7,4,1.417051,0.695313,64,9.3333,26.6667,0
02-001-3-31,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1.139999986,1.139999986,11.39999986,13.5,69,3,2,1,0.666278,0.473373,68.4211,0,31.5789,0
02-001-3-4,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.949999988,0.749999988,7.49999988,12.65,NA,5,3,2,0.755983,0.458678,66.6667,0,33.3333,0
02-001-3-5,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.939999998,0.939999998,9.39999998,12.7,NA,4,1,3,0,0,5.2632,2.6316,92.1053,0
02-001-3-6,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.860000014,0.860000014,8.60000014,9.41,56,8,4,4,1.046922,0.567108,46,26,28,0
02-001-3-7,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,0.519999981,0.319999981,3.19999981,6.06,63,9,5,4,0.216343,0.075074,85.2459,10.6557,4.0984,0
02-001-3-8,no,02-001,No,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,North,10461,10.46,3,1.100000024,1.100000024,11.00000024,11.66,NA,3,1,2,0,0,10.5263,0,78.9474,10.5263
02-002-1-01,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,1.139999986,0.939999986,9.39999986,8.33,98,11,8,3,1.460362,0.672018,85.022,7.9295,1.7621,5.2863
02-002-1-02,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,1.200000048,1.000000048,10.00000048,12.75,94,10,6,4,1.194447,0.631597,91.9831,5.0633,2.5316,0.4219
02-002-1-03,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,1.200000048,1.000000048,10.00000048,13.49,114,10,6,4,0.838179,0.424082,91.4414,7.6577,0.9009,0
02-002-1-04,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,1.25999999,1.05999999,10.5999999,14.66,120,12,6,6,1.482367,0.74481,77.2727,18.1818,0,4.5455
02-002-1-05,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,1.110000014,0.910000014,9.10000014,15.84,132,10,7,3,1.132123,0.49555,70.6667,6.6667,22.6667,0
02-002-1-06,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,1.179999948,0.979999948,9.79999948,16.8,125,14,8,6,1.273653,0.639144,74.8718,14.8718,4.1026,6.1538
02-002-1-07,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,1.070000052,0.870000052,8.70000052,13.03,101,18,10,8,1.686904,0.736607,61.5385,18.6813,13.1868,6.5934
02-002-1-08,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,0.899999976,0.899999976,8.99999976,15.13,NA,2,2,0,0.191444,0.090703,100,0,0,0
02-002-1-09,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,1.049999952,0.849999952,8.49999952,15.67,NA,5,4,1,1.075291,0.58264,85.2941,0,0,14.7059
02-002-1-10,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,0.699999988,0.499999988,4.99999988,6.06,NA,20,12,8,1.798546,0.735352,34.2246,36.3636,23.5294,5.8824
02-002-1-11,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,1.230000019,1.030000019,10.30000019,8.45,96,13,9,4,1.699171,0.781684,78.3069,18.5185,0,3.1746
02-002-1-12,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,1.129999995,0.929999995,9.29999995,13.49,NA,5,4,1,0.500418,0.242646,85.2632,0,14.7368,0
02-002-1-13,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,0.879999995,0.879999995,8.79999995,12.77,NA,4,2,2,0.387212,0.226843,71.875,0,25,3.125
02-002-1-14,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,0.730000019,0.530000019,5.30000019,6.9,NA,11,7,4,1.227055,0.536296,81.0811,11.7117,7.2072,0
02-002-1-15,no,02-002,No,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,North,12358,12.36,1,1.279999971,1.079999971,10.79999971,16.31,120,11,7,4,1.717392,0.796051,83.1325,14.4578,0,2.4096
02-003-A-1-1,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,1.00999999,0.80999999,8.0999999,14.47,NA,7,3,4,0.766409,0.428316,78.8462,11.5385,3.8462,5.7692
02-003-A-1-10,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,1.100000024,0.900000024,9.00000024,13.92,230,8,4,4,0.953473,0.569527,67.0968,3.2258,29.6774,0
02-003-A-1-11,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,1.129999995,0.929999995,9.29999995,3.97,110,11,8,3,1.130932,0.476029,70.5426,13.1783,0,16.2791
02-003-A-1-12,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,1.24000001,1.04000001,10.4000001,17.82,163,10,6,4,0.494895,0.196787,80.5085,0,11.0169,8.4746
02-003-A-1-13,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,1.139999986,0.939999986,9.39999986,9.24,115,6,3,3,0.740437,0.472255,65.5319,31.9149,2.5532,0
02-003-A-1-14,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,1.409999967,1.209999967,12.09999967,17.12,128,10,8,2,1.223458,0.541524,77.8656,18.1818,3.9526,0
02-003-A-1-15,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,1.370000005,1.170000005,11.70000005,11.19,160,11,6,5,0.736764,0.339204,62.3616,16.9742,15.4982,5.1661
02-003-A-1-2,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,0.720000029,0.520000029,5.20000029,2.38,94,6,4,2,0.651459,0.406943,81.7204,0,7.5269,10.7527
02-003-A-1-3,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,1.559999943,1.359999943,13.59999943,18.72,97,13,9,4,1.360822,0.649104,64.497,11.8343,17.7515,5.9172
02-003-A-1-4,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,1.059999943,0.859999943,8.59999943,8.19,65,10,7,3,1.137537,0.58284,57.3529,27.9412,14.7059,0
02-003-A-1-5,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,1.269999981,1.069999981,10.69999981,15.04,105,12,8,4,1.338465,0.672336,63.6364,10.101,26.2626,0
02-003-A-1-6,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,1.389999986,1.189999986,11.89999986,8.49,95,11,5,6,0.602127,0.284219,78.5714,12.0879,5.4945,3.8462
02-003-A-1-7,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,1.149999976,0.949999976,9.49999976,5.29,82,7,5,2,1.113318,0.601307,69.863,30.137,0,0
02-003-A-1-8,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,1.25999999,1.25999999,12.5999999,6.13,NA,12,6,6,1.482298,0.728468,23.0769,55.6213,9.4675,11.8343
02-003-A-1-9,no,02-003A,No,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,North,13054,13.05,1,0.699999988,0.499999988,4.99999988,3.3,128,6,5,1,0.941838,0.531231,98.7952,0,1.2048,0
02-003-B-1-1,yes,02-003B,No,2015,Inline,No,YES,NO,YES,1992,29,23,4094,7755,Fraser,North,14255,14.26,3,0.920000017,0.720000017,7.20000017,15.29,170,6,2,4,0.636514,0.444444,4.1667,0,94.4444,1.3889
02-003-B-1-10,yes,02-003B,No,2015,Inline,No,YES,NO,YES,1992,29,23,4094,7755,Fraser,North,14255,14.26,3,1.139999986,0.939999986,9.39999986,14.13,99,7,4,3,0.846965,0.460623,41.4634,29.2683,29.2683,0
02-003-B-1-11,yes,02-003B,No,2015,Inline,No,YES,NO,YES,1992,29,23,4094,7755,Fraser,North,14255,14.26,3,1.200000048,1.000000048,10.00000048,40.54,NA,7,3,4,0.696941,0.380917,44.0678,8.4746,46.6102,0.8475
02-003-B-1-2,yes,02-003B,No,2015,Inline,No,YES,NO,YES,1992,29,23,4094,7755,Fraser,North,14255,14.26,3,0.930000007,0.930000007,9.30000007,28.13,149,5,5,0,1.436272,0.728374,100,0,0,0
02-003-B-1-3,yes,02-003B,No,2015,Inline,No,YES,NO,YES,1992,29,23,4094,7755,Fraser,North,14255,14.26,3,1.24000001,1.24000001,12.4000001,36.33,NA,5,2,3,0.450561,0.277778,16.6667,13.8889,69.4444,0
02-003-B-1-4,yes,02-003B,No,2015,Inline,No,YES,NO,YES,1992,29,23,4094,7755,Fraser,North,14255,14.26,3,1.139999986,1.139999986,11.39999986,38.79,NA,4,2,2,0.636514,0.444444,30,0,70,0
02-003-B-1-5,yes,02-003B,No,2015,Inline,No,YES,NO,YES,1992,29,23,4094,7755,Fraser,North,14255,14.26,3,1.25999999,1.05999999,10.5999999,15.34,149,6,4,2,1.134298,0.631076,72.7273,1.5152,25.7576,0
