SITE_ID,PLOT,COMMUNITY,Scientific,Common,PERCENT_COVER,ORIGIN,MAX_LH
02-003-A,11,1,Equisetum fluviatile,swamp horsetail,3,N,
02-003-A,11,1,Juncus articulatus,jointed rush,3,N,
02-003-A,12,1,Carex lyngbyei ,Lyngbye's sedge,85,N,163
02-003-A,12,1,Lycopus sp.,horehound,10,U,
02-003-A,12,1,Equisetum fluviatile,swamp horsetail,3,N,
02-003-A,12,1,Lythrum salicaria,purple loosestrife,7,I,
02-003-A,12,1,Juncus balticus,Baltic rush,3,N,
02-003-A,12,1,Mimulus guttatus,yellow monkey-flower,2,N,
02-003-A,12,1,Iris pseudacorus,yellow iris,4,I,
02-003-A,12,1,Symphyotrichum subspicatum,Douglas' aster,1,N,
02-003-A,12,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
02-003-A,12,1,Phalaris arundinacea,reed canarygrass,2,I,
02-003-A,12,1,,Bare ground ,5,,
02-003-A,13,1,Myosotis scorpioides,European forget-me-not ,0.5,E,
02-003-A,13,1,Carex lyngbyei ,Lyngbye's sedge,50,N,115
02-003-A,13,1,Equisetum fluviatile,swamp horsetail,25,N,
02-003-A,13,1,Phalaris arundinacea,reed canarygrass,3,I,
02-003-A,13,1,Bidens cernua,nodding beggarticks,2,N,
02-003-A,13,1,Agrostis stolonifera,creeping bentgrass,37,E,
02-003-A,13,1,,Bare ground ,4,,
02-003-A,14,1,Carex lyngbyei ,Lyngbye's sedge,65,N,128
02-003-A,14,1,Mentha aquatica,water mint,23,E,
02-003-A,14,1,Scirpus microcarpus,small-flowered bulrush,6,N,
02-003-A,14,1,Lythrum salicaria,purple loosestrife,5,I,
02-003-A,14,1,Equisetum fluviatile,swamp horsetail,10,N,
02-003-A,14,1,Galium trifidum,small bedstraw,5,N,
02-003-A,14,1,Trifolium wormskioldii,springbank clover,5,N,
02-003-A,14,1,Juncus articulatus,jointed rush,6,N,74
02-003-A,14,1,Eleocharis palustris,common spike-rush,0.5,N,
02-003-A,14,1,Sium suave,water-parsnip ,1,N,
02-003-A,14,1,,Bare ground ,3,,
02-003-A,15,1,Carex lyngbyei ,Lyngbye's sedge,68,N,112
02-003-A,15,1,Lythrum salicaria,purple loosestrife,20,I,
02-003-A,15,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,5,N,160
02-003-A,15,1,Lycopus sp.,horehound,7,U,
02-003-A,15,1,Equisetum fluviatile,swamp horsetail,8,N,
02-003-A,15,1,Myosotis scorpioides,European forget-me-not,3,E,
02-003-A,15,1,Phalaris arundinacea,reed canarygrass,1,I,
02-003-A,15,1,Mimulus guttatus,yellow monkey-flower,0.5,N,
02-003-A,15,1,Oenanthe sarmentosa,Pacific water-parsley ,2,N,
02-003-A,15,1,Agrostis stolonifera,creeping bentgrass,20,E,
02-003-A,15,1,Symphyotrichum subspicatum,Douglas' aster,1,N,
