SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE,ORIGIN,PERCENT_COVER,MAX_LH
02-003-B,1,1,Lythrum salicaria,purple loosestrife,I,15,
02-003-B,3,1,Lythrum salicaria,purple loosestrife,I,20,
02-003-B,4,1,Lythrum salicaria,purple loosestrife,I,8,
02-003-B,6,1,Lythrum salicaria,purple loosestrife,I,5,
02-003-B,7,1,Lythrum salicaria,purple loosestrife,I,8,
02-003-B,9,1,Lythrum salicaria,purple loosestrife,I,3,
02-003-B,10,1,Lythrum salicaria,purple loosestrife,I,30,
02-003-B,11,1,Lythrum salicaria,purple loosestrife,I,55,
02-003-B,5,1,Epilobium ciliatum,purple-leaved willowherb,N,4,
02-003-B,3,1,Phalaris arundinacea,reed canarygrass ,I,5,
02-003-B,4,1,Phalaris arundinacea,reed canarygrass ,I,20,
02-003-B,9,1,Phalaris arundinacea,reed canarygrass ,I,5,
02-003-B,1,1,Phalaris arundinacea,reedcanary grass,I,3,
02-003-B,10,1,Galium trifidum,small bedstraw,N,5,
02-003-B,1,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,N,1,170
02-003-B,2,1,Scirpus lacustris,soft-stemmed bulrush,N,5,149
02-003-B,6,1,Scirpus lacustris,soft-stemmed bulrush,N,10,154
02-003-B,7,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,N,14,208
02-003-B,1,1,Equisetum fluviatile,swamp horsetail,N,2,
02-003-B,2,1,Equisetum fluviatile,swamp horsetail,N,14,
02-003-B,3,1,Equisetum fluviatile,swamp horsetail,N,5,
02-003-B,4,1,Equisetum fluviatile,swamp horsetail,N,4,
02-003-B,5,1,Equisetum fluviatile,swamp horsetail,N,4,
02-003-B,6,1,Equisetum fluviatile,swamp horsetail,N,15,
02-003-B,7,1,Equisetum fluviatile,swamp horsetail,N,6,
02-003-B,9,1,Equisetum fluviatile,swamp horsetail,N,0.5,
02-003-B,10,1,Equisetum fluviatile,swamp horsetail,N,7,
02-003-B,11,1,Equisetum fluviatile,swamp horsetail,N,40,
02-003-B,6,1,Mentha aquatica,water mint,E,4,
02-003-B,1,1,Alisma sp.,water-plantain,U,1,
02-003-B,6,1,Alisma sp.,water-plantain,U,0.5,
02-003-B,7,1,Alisma sp.,water-plantain,U,3,
02-003-B,8,1,Alisma sp.,water-plantain,U,0.5,
02-003-B,9,1,Alisma sp.,water-plantain,U,0.5,
02-003-B,11,1,Alisma sp.,water-plantain,U,1,
02-003-B,9,1,Lilaeopsis occidentalis,western lilaeopsis,N,0.5,
02-003-B,1,2,,bare ground,S,71,
02-003-B,2,2,,bare ground,S,57.5,
02-003-B,3,2,,bare ground,S,90,
02-003-B,4,2,,bare ground,S,80,
02-003-B,5,2,,bare ground,S,95,
02-003-B,1,2,Gratiola ebracteata,bractless hedge-hyssop,N,2,
02-003-B,3,2,Typha latifolia,common cattail,N,7,
02-003-B,4,2,Typha latifolia,common cattail,N,6,
02-003-B,5,2,Typha latifolia,common cattail,N,7,
02-003-B,2,2,Agrostis stolonifera,creeping bentgrass,E,20,
02-003-B,3,2,Juncus articulatus,jointed rush,N,2,
02-003-B,4,2,Juncus articulatus,jointed rush,N,1,
02-003-B,5,2,Juncus articulatus,jointed rush,N,0,
02-003-B,1,2,Typha angustifolia,lesser cattail,I,8,
02-003-B,2,2,Carex lynbyei,Lyngbye’s sedge,N,15,59
02-003-B,3,2,Carex lynbyei,Lyngbye’s sedge,N,0.5,
02-003-B,4,2,Carex lynbyei,Lyngbye’s sedge,N,0.5,
02-003-B,5,2,Carex lynbyei,Lyngbye’s sedge,N,0.5,
02-003-B,1,2,Persicaria hydropiper,marshpepper smartweed,E,1,
02-003-B,2,2,Persicaria hydropiper,marshpepper smartweed,E,1,
02-003-B,5,2,Persicaria hydropiper,marshpepper smartweed,E,1,
02-003-B,1,2,Crassula aquatica,pigmyweed,N,6,
02-003-B,2,2,Crassula aquatica,pigmyweed,N,3,
02-003-B,3,2,Crassula aquatica,pigmyweed,N,5,
02-003-B,4,2,Crassula aquatica,pigmyweed,N,4,
02-003-B,5,2,Crassula aquatica,pigmyweed,N,6,
02-003-B,1,2,Callitriche stagnalis,pond water-starwort,E,5,
02-003-B,3,2,Callitriche stagnalis,pond water-starwort,E,4,
02-003-B,4,2,Callitriche stagnalis,pond water-starwort,E,2,
02-003-B,5,2,Callitriche stagnalis,pond water-starwort,E,0,
02-003-B,3,2,Lythrum salicaria,purple loosestrife,I,2,
02-003-B,4,2,Lythrum salicaria,purple loosestrife,I,1,
02-003-B,5,2,Lythrum salicaria,purple loosestrife,I,9,
02-003-B,1,2,Phalaris arundinacea,reed canarygrass ,I,1,
02-003-B,1,2,Eleocharis parvula,small spike-rush,N,0.5,
02-003-B,2,2,Eleocharis parvula,small spike-rush,N,2,
02-003-B,3,2,Eleocharis parvula,small spike-rush,N,1,
02-003-B,4,2,Eleocharis parvula,small spike-rush,N,10,
02-003-B,5,2,Eleocharis parvula,small spike-rush,N,1,
02-003-B,1,2,Limosella aquatica,water mudwort,N,5,
02-003-B,2,2,Limosella aquatica,water mudwort,N,0.5,
02-003-B,3,2,Limosella aquatica,water mudwort,N,5,
02-003-B,4,2,Limosella aquatica,water mudwort,N,7,
02-003-B,5,2,Limosella aquatica,water mudwort,N,1,
02-003-B,1,2,Alisma sp.,water-plantain,U,0.5,
02-003-B,2,2,Alisma sp.,water-plantain,U,0.5,
02-003-B,2,2,Lilaeopsis occidentalis,western lilaeopsis,N,0.5,
02-003-B,3,2,Lilaeopsis occidentalis,western lilaeopsis,N,1,
02-003-B,4,2,Lilaeopsis occidentalis,western lilaeopsis,N,0,
02-003-B,5,2,Lilaeopsis occidentalis,western lilaeopsis,N,4,
