SITE_ID,PLOT,COMMUNITY,Scientific,Common,PERCENT_COVER,ORIGIN,MAX_LH
01-008,16,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
01-008,16,1,Juncus supiniformis ,spreading rush,1,N,
01-008,16,1,Mimulus guttatus,yellow monkey-flower,0.5,N,
01-008,16,1,Ludwigia palustris,water-purslane,0.5,N,
01-008,3,1,Myosotis scorpioides,European forget-me-not ,3,E,
01-008,3,1,Scirpus cyperinus,wool-grass,37,N,
01-008,3,1,Lilaeopsis occidentalis,western lilaeopsis,2,N,
01-008,3,1,Juncus supiniformis ,spreading rush,3,N,
01-008,3,1,Carex lyngbyei ,Lyngbye's sedge,32,N,
01-008,3,1,,log,20,,
01-008,3,1,,ground,6,,
01-008,6,1,Typha latifolia,common cattail,42,N,
01-008,6,1,Scirpus cyperinus,wool-grass,5,N,
01-008,6,1,Persicaria hydropiper,marshpepper smartweed,1,E,
01-008,6,1,Juncus supiniformis ,spreading rush,6,N,
01-008,6,1,Galium trifidum,small bedstraw,0.5,N,
01-008,6,1,Myosotis scorpioides,European forget-me-not ,2,E,
01-008,6,1,Ludwigia palustris,water-purslane,5,N,
01-008,6,1,Crassula aquatica,pigmyweed,0.5,N,
01-008,6,1,Eleocharis palustris,common spike-rush,0.5,N,
01-008,6,1,Leersia oryzoides ,rice cutgrass,2,N,
01-008,6,1,Juncus effusus,common rush,1,N,
01-008,6,1,Cardamine oligosperma,little western bitter-cress,0.5,N,
01-008,6,1,,ground,34,,
01-008,14,1,Scirpus cyperinus,wool-grass,35,N,127
01-008,14,1,Typha latifolia,common cattail,10,N,
01-008,14,1,Lythrum salicaria,purple loosestrife,10,I,
01-008,14,1,Juncus oxymeris,pointed rush,10,T,96
01-008,14,1,Leersia oryzoides ,rice cutgrass,1,N,
01-008,14,1,Juncus supiniformis ,spreading rush,5,N,
01-008,14,1,Bidens cernua,nodding beggarticks,1,N,
01-008,14,1,Ludwigia palustris,water-purslane,1,N,
01-008,14,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
01-008,14,1,Callitriche stagnalis,pond-water starwort,3,E,
01-008,14,1,Galium trifidum,small bedstraw,0.5,N,
01-008,14,1,Agrostis capillaris,creeping bentgrass,1,E,
01-008,14,1,Persicaria hydropiper,marshpepper smartweed,1,E,
01-008,14,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,1,N,
01-008,14,1,Eleocharis obtusa,blunt spike-rush,2,N,
01-008,14,1,Alisma sp.,water-plantain,1,U,
01-008,14,1,,ground,16,,
01-008,10,1,Lythrum salicaria,purple loosestrife,22,I,
01-008,10,1,Juncus effusus,common rush,35,N,145
01-008,10,1,Typha latifolia,common cattail,8,N,
01-008,10,1,Bidens cernua,nodding beggarticks,3,N,
01-008,10,1,Leersia oryzoides ,rice cutgrass,15,N,
01-008,10,1,Scirpus cyperinus,wool-grass,12,N,151
01-008,10,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
01-008,10,1,Galium trifidum,small bedstraw,0.5,N,
01-008,10,1,Juncus supiniformis ,spreading rush,6,N,38
01-008,10,1,Crassula aquatica,pigmyweed,0.5,N,
01-008,10,1,Callitriche stagnalis,pond-water starwort,3,E,
01-008,10,1,Myosotis scorpioides,European forget-me-not ,1,E,
01-008,10,1,Alisma sp.,water-plantain,1,U,
01-008,10,1,Limosella aquatica,water mudwort,0.5,N,
01-008,10,1,Eleocharis obtusa,blunt spike-rush,1,N,
01-008,10,1,,ground,0,,
01-008,4,1,Juncus effusus,common rush,15,N,116
01-008,4,1,Typha latifolia,common cattail,9,N,
01-008,4,1,Bidens cernua,nodding beggarticks,15,N,
01-008,4,1,Eleocharis obtusa,blunt spike-rush,25,N,28
01-008,4,1,Carex lyngbyei ,Lyngbye's sedge,10,N,
01-008,4,1,Juncus oxymeris,pointed rush,1,T,
01-008,4,1,Ludwigia palustris,water-purslane,6,N,
01-008,4,1,Lycopus sp.,horehound,1,U,
01-008,4,1,Crassula aquatica,pigmyweed,0.5,N,
01-008,4,1,Callitriche stagnalis,pond-water starwort,2,E,
01-008,4,1,Mimulus guttatus,yellow monkey-flower,1,N,
01-008,4,1,Alisma sp.,water-plantain,1,U,
01-008,4,1,Glyceria elata,tall mannagrass,3,N,
01-008,4,1,Juncus supiniformis ,spreading rush,2,N,
01-008,4,1,,ground,8,,
01-008,4,1,Myriophyllum ussuriense,Ussurian water-milfoil ,0.5,N,
01-008,20,1,Lilaeopsis occidentalis,western lilaeopsis,4,N,
01-008,20,1,Scirpus microcarpus,small-flowered bulrush,6,N,85
01-008,20,1,Eleocharis palustris,common spike-rush,1,N,
01-008,20,1,Bidens cernua,nodding beggarticks,2,N,
01-008,20,1,Juncus supiniformis ,spreading rush,1,N,
01-008,20,1,Sium suave,water-parsnip,1,N,
01-008,20,1,Persicaria hydropiper,marshpepper smartweed,0.5,E,
01-008,20,1,Glyceria elata,tall mannagrass,2,N,
01-008,20,1,Lythrum salicaria,purple loosestrife,0.5,I,
01-008,20,1,,ground,82,,
01-008,11,1,Typha latifolia,common cattail,55,N,
01-008,11,1,Eleocharis palustris,common spike-rush,14,N,77
01-008,11,1,,,1,,
01-008,11,1,Elodea canadensis ,Canadian waterweed,43,N,
01-008,11,1,Myriophyllum ussuriense,Ussurian water-milfoil ,1,N,
01-008,11,1,Juncus articulatus,jointed rush,10,N,44
01-008,11,1,,ground,0,,
01-008,2,1,Typha latifolia,common cattail,5,N,
01-008,2,1,Scirpus microcarpus,small-flowered bulrush,11,N,89
01-008,2,1,Glyceria elata,tall mannagrass,15,N,
01-008,2,1,Bidens cernua,nodding beggarticks,2,N,
01-008,2,1,Eleocharis palustris,common spike-rush,2,N,
01-008,2,1,Crassula aquatica,pigmyweed,0.5,N,
01-008,2,1,Persicaria hydropiper,marshpepper smartweed,1,E,
01-008,2,1,Juncus articulatus,jointed rush,1,N,
01-008,2,1,Alisma sp.,water-plantain,1,U,
01-008,2,1,,ground,61.5,,
01-008,13,1,Typha latifolia,common cattail,7,N,
01-008,13,1,Scirpus microcarpus,small-flowered bulrush,3,N,
01-008,13,1,Sagittaria latifolia,broad-leaved arrowhead,3,N,
01-008,13,1,Eleocharis obtusa,blunt spike-rush,4,N,
01-008,13,1,Glyceria elata,tall mannagrass,2,N,
01-008,13,1,Juncus articulatus,jointed rush,1,N,
01-008,13,1,Lysimachia terrestris,bog loosestrife,0.5,E,
01-008,13,1,Lythrum salicaria,purple loosestrife,0.5,I,
01-008,13,1,,ground,79,,
01-008,19,1,Scirpus microcarpus,small-flowered bulrush,45,N,98
01-008,19,1,Bidens tripartita,three-parted beggarticks,1,E,
01-008,19,1,Glyceria elata,tall mannagrass,5,N,
01-008,19,1,Lythrum salicaria,purple loosestrife,1,I,
01-008,19,1,Alisma sp.,water-plantain,2,U,
01-008,19,1,Juncus articulatus,jointed rush,0.5,N,
01-008,19,1,Bidens cernua,nodding beggarticks,1,N,
01-008,19,1,Eleocharis obtusa,blunt spike-rush,1,N,
01-008,19,1,Eleocharis parvula,small spike-rush,0.5,T,
01-008,19,1,Crassula aquatica,pigmyweed,0.5,N,
01-008,19,1,Callitriche stagnalis,pond-water starwort,0.5,E,
01-008,19,1,,ground,42,,
01-008,17,1,Typha latifolia,common cattail,5,N,
01-008,17,1,Scirpus microcarpus,small-flowered bulrush,13,N,142
01-008,17,1,Carex sitchensis,Sitka sedge,70,N,134
01-008,17,1,Myosotis scorpioides,European forget-me-not ,3,E,
01-008,17,1,Juncus supiniformis ,spreading rush,10,N,35
01-008,17,1,Crassula aquatica,pigmyweed,0.5,N,
01-008,17,1,Bidens cernua,nodding beggarticks,1,N,
01-008,17,1,Mimulus guttatus,yellow monkey-flower,1,N,
01-008,17,1,Ludwigia palustris,water-purslane,0.5,N,
01-008,17,1,Callitriche stagnalis,pond-water starwort,0.5,E,
01-008,17,1,Persicaria hydropiper,marshpepper smartweed,1,E,
01-008,17,1,Glyceria elata,tall mannagrass,2,N,
01-008,17,1,,ground,0,,
01-008,5,1,Typha latifolia,common cattail,15,N,
01-008,5,1,Juncus effusus,common rush,28,N,122
01-008,5,1,Juncus oxymeris,pointed rush,3,T,
01-008,5,1,Carex sitchensis,Sitka sedge,22,N,154
01-008,5,1,Ludwigia palustris,water-purslane,1,N,
01-008,5,1,Juncus supiniformis ,spreading rush,7,N,
01-008,5,1,,ground,24,,
01-008,1,1,Typha angustifolia,lesser cattail,46,I,
01-008,1,1,Leersia oryzoides ,rice cutgrass,17,N,
01-008,1,1,Bidens tripartita,three-parted beggarticks,1,E,
01-008,1,1,Eleocharis obtusa,blunt spike-rush,1,N,
01-008,1,1,Lythrum salicaria,purple loosestrife,0.5,I,
01-008,1,1,,ground,40,,
01-008,9,1,Leersia oryzoides ,rice cutgrass,52,N,
01-008,9,1,Sagittaria latifolia,broad-leaved arrowhead,9,N,
01-008,9,1,Lythrum salicaria,purple loosestrife,6,I,
01-008,9,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
01-008,9,1,Carex lyngbyei ,Lyngbye's sedge,5,N,92
01-008,9,1,Eleocharis parvula,small spike-rush,0.5,N,
01-008,9,1,Carex sitchensis,Sitka sedge,5,N,84
01-008,9,1,Bidens cernua,nodding beggarticks,1,N,
01-008,9,1,Bidens tripartita,three-parted beggarticks,1,E,
01-008,9,1,,ground,20,,
01-008,18,1,Typha latifolia,common cattail,39,N,
01-008,18,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,5,N,182
01-008,18,1,Eleocharis palustris,common spike-rush,0.5,N,
01-008,18,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
01-008,18,1,Myosotis scorpioides,European forget-me-not ,1,E,
01-008,18,1,Carex lyngbyei ,Lyngbye's sedge,0.5,N,
01-008,18,1,Leersia oryzoides ,rice cutgrass,3,N,
01-008,18,1,Ludwigia palustris,water-purslane,1,N,
01-008,18,1,Bidens cernua,nodding beggarticks,0.5,N,
01-008,18,1,Bidens tripartita,three-parted beggarticks,0.5,E,
01-008,18,1,Juncus supiniformis ,spreading rush,2,N,
01-008,18,1,,ground,46,,
01-008,7,1,Typha latifolia,common cattail,3,N,
01-008,7,1,Scirpus microcarpus,small-flowered bulrush,7,N,151
01-008,7,1,Carex sitchensis,Sitka sedge,70,N,
01-008,7,1,Lythrum salicaria,purple loosestrife,3,I,
01-008,7,1,Myosotis scorpioides,European forget-me-not ,2,E,
01-008,7,1,Eleocharis palustris,common spike-rush,1,N,
01-008,7,1,Juncus articulatus,jointed rush,0.5,N,
01-008,7,1,Ludwigia palustris,water-purslane,0.5,N,
01-008,7,1,Juncus articulatus,spreading rush,2,N,
01-008,7,1,Phalaris arundinacea,reed canarygrass,1,I,
01-008,7,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,2,N,
01-008,7,1,Juncus oxymeris,pointed rush,1,T,
01-008,7,1,Agrostis capillaris,colonial bentgrass,10,E,
01-008,7,1,,ground,5,,
01-008,12,1,Typha latifolia,common cattail,4,N,
01-008,12,1,Lythrum salicaria,purple loosestrife,2,T,
01-008,12,1,Sagittaria latifolia,broad-leaved arrowhead,3,N,
01-008,12,1,Carex lyngbyei ,Lyngbye's sedge,90,N,
01-008,12,1,Scirpus microcarpus,small-flowered bulrush,2,N,
01-008,12,1,Myosotis scorpioides,European forget-me-not ,2,E,
01-008,12,1,Juncus supiniformis ,spreading rush,2,N,
01-008,12,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
01-008,12,1,Rumex aquatica,western dock,0.5,E,
01-008,12,1,Eleocharis palustris,common spike-rush,0.5,N,
