PLOT_CODE,SITE,REFERENCE,SAMPLE_YEAR,TYPE,INLAND,SHEAR_BOOM,LOG_FENCE,OFFSHORE_STRUCTURE,CREATION_YR,AGE,SAMPLING_AGE,AREA_MAPPED,AREA_INTENDED,RIVER,ARM,M_UPRIVER,KM_UPRIVER,GRAZING,ELEVATION,PROX_CHAN,CARELYN_MH,ALL_RICH,NAT_RICH,NN_RICH,SHANN,SIMP,RC_Native,RC_NonNative,RC_Invasive,RC_Unknown
03-004-1-14,03-004A,NO,2015,Basin,Y,NO,YES,NO,1994,27,21,6306.73,5365,Fraser,North,4895,4.9,0,0.96,38.71727115,NA,1,0,1,0,1,0,0,1,0
03-004-1-18,03-004A,NO,2015,Basin,Y,NO,YES,NO,1994,27,21,6306.73,5365,Fraser,North,4895,4.9,0,1,49.43665834,NA,1,0,1,0,1,0,0,1,0
03-004-1-9,03-004A,NO,2015,Basin,Y,NO,YES,NO,1994,27,21,6306.73,5365,Fraser,North,4895,4.9,0,1,36.37453068,NA,2,0,2,0,1,0,0,0.983607,0.016393
03-004-1-17,03-004A,NO,2015,Basin,Y,NO,YES,NO,1994,27,21,6306.73,5365,Fraser,North,4895,4.9,0,1.01,48.39392292,18,1,0,1,0,1,0,0,1,0
03-004-1-6,03-004A,NO,2015,Basin,Y,NO,YES,NO,1994,27,21,6306.73,5365,Fraser,North,4895,4.9,0,1.01,57.81981645,NA,1,0,1,0,1,0,0,1,0
10-003-2-2,10-003,NO,2015,Embayment,N,NO,NO,NO,1989,32,26,227.04,180,Fraser,Main,17370,17.37,0,1.029936314,6.598627524,NA,3,0,3,0,1,0,0.130435,0.869565,0
03-004-1-16,03-004A,NO,2015,Basin,Y,NO,YES,NO,1994,27,21,6306.73,5365,Fraser,North,4895,4.9,0,1.05,48.60177399,NA,1,0,1,0,1,0,0,1,0
03-004-1-5,03-004A,NO,2015,Basin,Y,NO,YES,NO,1994,27,21,6306.73,5365,Fraser,North,4895,4.9,0,1.05,48.15060095,NA,1,0,1,0,1,0,0,1,0
09-008-A-2-1,09-008A,NO,2015,Protruding,N,NO,NO,YES,1991,30,24,249.94,810,Fraser,Main,10716,10.72,1,1.060214,0.601633549,NA,3,0,3,0,1,0,0,1,0
03-004-1-3,03-004A,NO,2015,Basin,Y,NO,YES,NO,1994,27,21,6306.73,5365,Fraser,North,4895,4.9,0,1.08,37.24134496,NA,1,0,1,0,1,0,0,1,0
10-002-B-2-15,10-002B,NO,2015,Basin,Y,NO,NO,NO,1978,43,37,3742.3,10000,Fraser,Main,15504,15.5,0,1.080944777,31.3338076,NA,2,0,2,0,1,0,0,1,0
03-004-1-20,03-004A,NO,2015,Basin,Y,NO,YES,NO,1994,27,21,6306.73,5365,Fraser,North,4895,4.9,0,1.09,44.2589335,NA,1,0,1,0,1,0,0,1,0
10-002-B-2-07,10-002B,NO,2015,Basin,Y,NO,NO,NO,1978,43,37,3742.3,10000,Fraser,Main,15504,15.5,0,1.10905242,32.56508669,NA,1,0,1,0,1,0,0,0,1
03-004-1-12,03-004A,NO,2015,Basin,Y,NO,YES,NO,1994,27,21,6306.73,5365,Fraser,North,4895,4.9,0,1.11,60.20242346,109,1,0,1,0,1,0,0,1,0
03-004-1-2,03-004A,NO,2015,Basin,Y,NO,YES,NO,1994,27,21,6306.73,5365,Fraser,North,4895,4.9,0,1.14,33.67408903,NA,1,0,1,0,1,0,0,1,0
10-002-A-1-02,10-002A,NO,2015,Basin,Y,NO,NO,NO,1978,43,37,15320.29,10000,Fraser,Main,15062,15.06,0,1.170969844,47.27723558,NA,2,0,2,0,1,0,0,1,0
10-002-A-1-08,10-002A,NO,2015,Basin,Y,NO,NO,NO,1978,43,37,15320.29,10000,Fraser,Main,15062,15.06,0,1.240325212,44.62124421,NA,1,0,1,0,1,0,0,1,0
12-001-1-15,12-001,NO,2015,Protruding,N,YES,NO,YES,1982,39,33,671.31,625,Fraser,Main,24214,24.21,0,1.27049,11.12732556,NA,4,0,4,0,1,0,0.057143,0.942857,0
10-002-A-1-19,10-002A,NO,2015,Basin,Y,NO,NO,NO,1978,43,37,15320.29,10000,Fraser,Main,15062,15.06,0,1.387729645,26.49133271,NA,1,0,1,0,1,0,0,1,0
10-002-A-1-20,10-002A,NO,2015,Basin,Y,NO,NO,NO,1978,43,37,15320.29,10000,Fraser,Main,15062,15.06,0,1.500644207,71.71445717,NA,1,0,1,0,1,0,0,1,0
12-001-1-11,12-001,NO,2015,Protruding,N,YES,NO,YES,1982,39,33,671.31,625,Fraser,Main,24214,24.21,0,1.509755,3.63802308,NA,2,0,2,0,1,0,0,0.952381,0.047619
02-014-1-02,02-014,NO,2015,Inline,N,NO,NO,NO,2008,13,7,1619.58,950,Fraser,North,8102,8.1,0,1.539979935,22.21840358,NA,3,0,3,0,1,0,0,1,0
02-014-1-05,02-014,NO,2015,Inline,N,NO,NO,NO,2008,13,7,1619.58,950,Fraser,North,8102,8.1,0,1.559999943,24.04868777,NA,3,0,3,0,1,0,0,1,0
02-009-1-3,02-009,NO,2015,Inline,N,NO,NO,NO,2001,20,14,1040.39,1382,Fraser,North,8027,8.03,2,1.639977336,33.72268786,NA,4,0,4,0,1,0,0,0.735849,0.264151
14-004-1-6,14-004,NO,2015,Protruding,N,YES,NO,YES,1986,35,29,1097.26,1000,Fraser,Main,46915,46.92,1,2.119999886,12.79906429,145,2,0,2,0,1,0,0,1,0
14-004-1-10,14-004,NO,2015,Protruding,N,YES,NO,YES,1986,35,29,1097.26,1000,Fraser,Main,46915,46.92,1,2.149864912,11.55778975,150,2,0,2,0,1,0,0,1,0
14-004-1-5,14-004,NO,2015,Protruding,N,YES,NO,YES,1986,35,29,1097.26,1000,Fraser,Main,46915,46.92,1,2.200163126,9.470387392,135,2,0,2,0,1,0,0,1,0
REF-2015-02-2-05,REF-2015-02,YES,2015,Inline,N,NO,NO,YES,NA,NA,NA,NA,NA,Fraser,North,11900,11.9,2,-0.200000003,0,NA,1,0,1,0,1,0,1,0,0
REF-2015-10-2-16,REF-2015-10,YES,2015,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,12894,12.89,1,-0.119999997,0,NA,1,0,1,0,1,0,1,0,0
REF-2015-02-2-08,REF-2015-02,YES,2015,Inline,N,NO,NO,YES,NA,NA,NA,NA,NA,Fraser,North,11900,11.9,2,-0.109999999,0,NA,1,0,1,0,1,0,1,0,0
REF-2015-10-2-18,REF-2015-10,YES,2015,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,12894,12.89,1,-0.100874864,0,NA,1,0,1,0,1,0,1,0,0
REF-2015-10-2-19,REF-2015-10,YES,2015,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,12894,12.89,1,-0.07,0,NA,1,0,1,0,1,0,1,0,0
REF-2015-02-2-09,REF-2015-02,YES,2015,Inline,N,NO,NO,YES,NA,NA,NA,NA,NA,Fraser,North,11900,11.9,2,-0.059999999,0,NA,1,0,1,0,1,0,1,0,0
REF-2015-10-2-17,REF-2015-10,YES,2015,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,12894,12.89,1,-0.040437371,0,NA,1,0,1,0,1,0,1,0,0
REF-2015-02-2-13,REF-2015-02,YES,2015,Inline,N,NO,NO,YES,NA,NA,NA,NA,NA,Fraser,North,11900,11.9,2,0.029999999,0.358662215,NA,1,0,1,0,1,0,1,0,0
REF-2015-02-2-14,REF-2015-02,YES,2015,Inline,N,NO,NO,YES,NA,NA,NA,NA,NA,Fraser,North,11900,11.9,2,0.039999999,1.158400923,NA,1,0,1,0,1,0,1,0,0
REF-2015-02-2-12,REF-2015-02,YES,2015,Inline,N,NO,NO,YES,NA,NA,NA,NA,NA,Fraser,North,11900,11.9,2,0.090000004,3.428731028,NA,1,0,1,0,1,0,1,0,0
REF-2015-10-2-14,REF-2015-10,YES,2015,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,12894,12.89,1,0.109999999,3.256973667,NA,1,0,1,0,1,0,1,0,0
REF-2015-02-2-03,REF-2015-02,YES,2015,Inline,N,NO,NO,YES,NA,NA,NA,NA,NA,Fraser,North,11900,11.9,2,0.119999997,0.476391356,NA,1,0,1,0,1,0,1,0,0
REF-2015-10-2-13,REF-2015-10,YES,2015,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,12894,12.89,1,0.129999995,4.726259127,NA,1,0,1,0,1,0,1,0,0
REF-2015-10-2-09,REF-2015-10,YES,2015,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,12894,12.89,1,0.17956534,9.71577048,NA,1,0,1,0,1,0,1,0,0
REF-2015-05-2-08,REF-2015-05,YES,2015,Inline,N,NO,NO,YES,NA,NA,NA,NA,NA,Fraser,North,5638,5.64,1,0.180000007,11.65816539,NA,1,0,1,0,1,0,1,0,0
REF-2015-11-2-04,REF-2015-11,YES,2015,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,23035,23.04,2,0.310577154,8.835952343,NA,1,0,1,0,1,0,1,0,0
REF-2015-11-2-09,REF-2015-11,YES,2015,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,23035,23.04,2,0.360383898,7.183529637,NA,1,0,1,0,1,0,1,0,0
REF-2015-11-2-03,REF-2015-11,YES,2015,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,23035,23.04,2,0.40019244,7.737790933,NA,1,0,1,0,1,0,1,0,0
REF-2015-12-1-12,REF-2015-12,YES,2015,Inline,N,NO,NO,YES,NA,NA,NA,NA,NA,Fraser,Main,18973,18.97,2,0.959963858,14.36397336,NA,1,0,1,0,1,0,0,1,0
REF-2015-05-1-15,REF-2015-05,YES,2015,Inline,N,NO,NO,YES,NA,NA,NA,NA,NA,Fraser,North,5638,5.64,1,1.609467745,8.401223503,NA,3,0,3,0,1,0,0,1,0
Gunderson-2-7,GUN,NO,2021,Protruding,N,NO,NO,NO,2014,7,7,NA,4750.97,Fraser,Main,22913,22.91,2,0.239564,2.337545,NA,1,0,1,0,1,0,1,0,0
13-002-2-9,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,0.34043,5.849,NA,3,0,3,0,1,0,0.952381,0,0.047619
Gunderson-2-8,GUN,NO,2021,Protruding,N,NO,NO,NO,2014,7,7,NA,4750.97,Fraser,Main,22913,22.91,2,0.409565,6.089517,NA,1,0,1,0,1,0,1,0,0
Alex_Fraser_North-2-18,AFN,NO,2021,Basin,Y,NO,NO,NO,2010,11,11,4247.83,NA,Fraser,Main,21356,21.36,1,0.509834,101.976,NA,3,0,3,0,1,0,0.666667,0,0.333333
13-016-2-2,13-016,NO,2021,Protruding,N,NO,NO,NO,2005,16,16,96.65,71.16,Fraser,Main,29231,29.23,NA,0.51,1.9984,NA,1,0,1,0,0,0,0,0,1
Alex_Fraser_North-2-13,AFN,NO,2021,Basin,Y,NO,NO,NO,2010,11,11,4247.83,NA,Fraser,Main,21356,21.36,1,0.639836,64.857,NA,4,0,4,0,1,0,0.029126,0.970874,0
11-009-2-8,11-009,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,1674.37,NA,Fraser,Main,23825,23.83,2,0.950109,3.245037,NA,1,0,1,0,1,0,0,0,1
05-002-1-3,05-002,NO,2021,Basin,Y,NO,YES,NO,1991,30,30,4356.1,4500,Fraser,North,3224,3.22,0,0.970523,102.799,NA,1,0,1,0,1,0,0,1,0
09-003-1-20,09-003,NO,2021,Basin,Y,NO,NO,NO,1990,31,31,59309,60349,Fraser,Main,10403,10.4,0,0.975534,73.409,NA,1,0,1,0,1,0,0,1,0
05-002-1-10,05-002,NO,2021,Basin,Y,NO,YES,NO,1991,30,30,4356.1,4500,Fraser,North,3224,3.22,0,0.990174,109.805,NA,1,0,1,0,1,0,0,1,0
09-003-1-11,09-003,NO,2021,Basin,Y,NO,NO,NO,1990,31,31,59309,60349,Fraser,Main,10403,10.4,0,0.998321,135.859,NA,1,0,1,0,1,0,0,1,0
05-002-1-8,05-002,NO,2021,Basin,Y,NO,YES,NO,1991,30,30,4356.1,4500,Fraser,North,3224,3.22,0,1.029826,63.079,NA,2,0,2,0,1,0,0,1,0
05-002-1-15,05-002,NO,2021,Basin,Y,NO,YES,NO,1991,30,30,4356.1,4500,Fraser,North,3224,3.22,0,1.041047,80.612,NA,2,0,2,0,1,0,0,1,0
05-002-1-9,05-002,NO,2021,Basin,Y,NO,YES,NO,1991,30,30,4356.1,4500,Fraser,North,3224,3.22,0,1.049825,86.105,NA,1,0,1,0,1,0,0,1,0
05-002-1-6,05-002,NO,2021,Basin,Y,NO,YES,NO,1991,30,30,4356.1,4500,Fraser,North,3224,3.22,0,1.050523,87.331,NA,2,0,2,0,1,0,0,1,0
05-002-1-4,05-002,NO,2021,Basin,Y,NO,YES,NO,1991,30,30,4356.1,4500,Fraser,North,3224,3.22,0,1.07,111.891,NA,1,0,1,0,1,0,0,1,0
05-002-1-18,05-002,NO,2021,Basin,Y,NO,YES,NO,1991,30,30,4356.1,4500,Fraser,North,3224,3.22,0,1.089474,93.631,NA,2,0,2,0,1,0,0,1,0
09-003-1-21,09-003,NO,2021,Basin,Y,NO,NO,NO,1990,31,31,59309,60349,Fraser,Main,10403,10.4,0,1.098748,9.962,NA,1,0,1,0,1,0,0,1,0
09-003-1-9,09-003,NO,2021,Basin,Y,NO,NO,NO,1990,31,31,59309,60349,Fraser,Main,10403,10.4,0,1.110844,95.235,NA,1,0,1,0,1,0,0,1,0
05-002-1-5,05-002,NO,2021,Basin,Y,NO,YES,NO,1991,30,30,4356.1,4500,Fraser,North,3224,3.22,0,1.119826,86.534,NA,1,0,1,0,1,0,0,1,0
05-002-1-2,05-002,NO,2021,Basin,Y,NO,YES,NO,1991,30,30,4356.1,4500,Fraser,North,3224,3.22,0,1.138249,110.723,NA,1,0,1,0,1,0,0,1,0
09-003-1-8,09-003,NO,2021,Basin,Y,NO,NO,NO,1990,31,31,59309,60349,Fraser,Main,10403,10.4,0,1.177892,130.75,NA,1,0,1,0,1,0,0,1,0
Frenchies-1-9-03A,FR,NO,2021,Basin,Y,YES,NO,YES,2010,11,11,19100.32,NA,Fraser,Main,7640,7.64,0,1.189346,7.567,NA,2,0,2,0,1,0,0,1,0
09-003-1-10,09-003,NO,2021,Basin,Y,NO,NO,NO,1990,31,31,59309,60349,Fraser,Main,10403,10.4,0,1.2,27.433,NA,1,0,1,0,1,0,0,1,0
Frenchies-1-2-01A,FR,NO,2021,Basin,Y,YES,NO,YES,2010,11,11,19100.32,NA,Fraser,Main,7640,7.64,0,1.210282,104.836,NA,2,0,2,0,1,0,0,1,0
09-003-1-19,09-003,NO,2021,Basin,Y,NO,NO,NO,1990,31,31,59309,60349,Fraser,Main,10403,10.4,0,1.271677,138.107,NA,4,0,4,0,1,0,0,1,0
Frenchies-1-7-03A,FR,NO,2021,Basin,Y,YES,NO,YES,2010,11,11,19100.32,NA,Fraser,Main,7640,7.64,0,1.291312,104.736,NA,3,0,3,0,1,0,0,1,0
13-002-2-107,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,1.329424,7.333,NA,3,0,3,0,1,0,0.666667,0,0.333333
Frenchies-1-3-04A,FR,NO,2021,Basin,Y,YES,NO,YES,2010,11,11,19100.32,NA,Fraser,Main,7640,7.64,0,1.341315,7.574,NA,1,0,1,0,1,0,0,1,0
09-003-1-5,09-003,NO,2021,Basin,Y,NO,NO,NO,1990,31,31,59309,60349,Fraser,Main,10403,10.4,0,1.357037,108.454,NA,2,0,2,0,1,0,0,1,0
Frenchies-1-5-02B,FR,NO,2021,Basin,Y,YES,NO,YES,2010,11,11,19100.32,NA,Fraser,Main,7640,7.64,0,1.394763,77.023,NA,2,0,2,0,1,0,0,1,0
Frenchies-1-4-03A,FR,NO,2021,Basin,Y,YES,NO,YES,2010,11,11,19100.32,NA,Fraser,Main,7640,7.64,0,1.50131,51.378,NA,2,0,2,0,1,0,0,1,0
09-020-1-3,09-020,NO,2021,Inline,N,NO,NO,YES,2011,10,10,1015.06,NA,Fraser,Main,2918,2.92,0,2.84,8.903281,NA,4,0,4,0,1,0,0.160305,0.839695,0
REF3-1-12,REF3,YES,2021,Inline,N,NO,NO,NO,NA,NA,NA,9924,NA,Fraser,Main,38345,38.35,1,1.53,31.92435,NA,1,0,1,0,1,0,1,0,0
REF3-1-19,REF3,YES,2021,Inline,N,NO,NO,NO,NA,NA,NA,9924,NA,Fraser,Main,38345,38.35,1,1.6,26.06705,NA,1,0,1,0,1,0,1,0,0
Ref5-1-07,REF5,YES,2021,Inline,N,NO,NO,YES,NA,NA,NA,NA,NA,Fraser,Main,29812,29.81,1,1.62,17.30127,NA,5,0,5,0,1,0,0.951865,0.048135,0
14-001-1-11,14-001,NO,2021,Protruding,N,NO,NO,YES,1988,33,33,3451.89,NA,Fraser,Main,37471,37.47,1,1.82,19.29393,NA,3,1,2,0,0,0.000999,0,0.999001,0
Ref4-1-09,REF4,YES,2021,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,36055,36.06,1,1.72,39.68108,NA,2,1,1,0,0,0.000999,0,0.999001,0
Ref4-1-16,REF4,YES,2021,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,36055,36.06,1,1.43,16.80788,NA,2,1,1,0,0,0.001019,0,0.998981,0
13-002-1-120,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,0.37899,5.683,NA,4,1,3,0,0,0.001049,0.997901,0,0.001049
13-002-1-124,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,0.610286,3.57,NA,4,1,3,0,0,0.001107,0.997785,0,0.001107
13-002-1-15,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,0.669857,12.88,NA,4,1,3,0,0,0.001245,0.998755,0,0
13-002-2-118,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,0.43971,3.637,NA,4,1,3,0,0,0.001328,0.997344,0,0.001328
14-001-1-7,14-001,NO,2021,Protruding,N,NO,NO,YES,1988,33,33,3451.89,NA,Fraser,Main,37471,37.47,1,1.79,23.31129,NA,2,1,1,0,0,0.001427,0,0.998573,0
14-001-1-2,14-001,NO,2021,Protruding,N,NO,NO,YES,1988,33,33,3451.89,NA,Fraser,Main,37471,37.47,1,1.88,10.16179,NA,3,1,2,0,0,0.001815,0,0.998185,0
02-013-2-22,02-013,NO,2021,Basin,Y,NO,YES,NO,2007,14,14,539.9,1610,Fraser,North,8372,8.37,0,1.98,27.294,133,6,1,5,0,0,0.001919,0.959693,0.038388,0
13-002-2-106,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,0.420425,0.133,NA,5,2,3,0.693147,0.5,0.002077,0.987539,0,0.010384
Ref5-1-13,REF5,YES,2021,Inline,N,NO,NO,YES,NA,NA,NA,NA,NA,Fraser,Main,29812,29.81,1,1.58,13.83188,NA,8,2,6,0.693147,0.5,0.002121,0.955461,0.042418,0
14-001-1-5,14-001,NO,2021,Protruding,N,NO,NO,YES,1988,33,33,3451.89,NA,Fraser,Main,37471,37.47,1,1.71,22.86986,NA,3,1,2,0,0,0.00232,0,0.99768,0
13-002-2-4,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,0.39,7.843,NA,7,2,5,0.693147,0.5,0.002342,0.974239,0.01171,0.01171
13-002-1-114,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,0.489424,7.857,NA,5,2,3,0.693147,0.5,0.002342,0.996487,0,0.001171
REF3-1-9,REF3,YES,2021,Inline,N,NO,NO,NO,NA,NA,NA,9924,NA,Fraser,Main,38345,38.35,1,1.49,34.63902,NA,3,1,2,0,0,0.00277,0.969529,0.027701,0
13-002-1-19,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,0.870286,11.591,NA,9,2,7,0.693147,0.5,0.002793,0.955307,0.013966,0.027933
13-002-1-123,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,0.069714,2.079,NA,4,1,3,0,0,0.003953,0.992095,0,0.003953
REF3-1-18,REF3,YES,2021,Inline,N,NO,NO,NO,NA,NA,NA,9924,NA,Fraser,Main,38345,38.35,1,1.57,21.44318,NA,5,2,3,0.693147,0.5,0.004057,0.912779,0.083164,0
Frenchies-1-1-02A,FR,NO,2021,Basin,Y,YES,NO,YES,2010,11,11,19100.32,NA,Fraser,Main,7640,7.64,0,1.277892,71.149,NA,6,1,5,0,0,0.004386,0.004386,0.991228,0
Ref4-1-18,REF4,YES,2021,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,36055,36.06,1,1.25,22.65454,NA,4,2,2,0.693147,0.5,0.004975,0.024876,0.970149,0
13-002-1-13,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,0.559429,36.804,NA,8,2,6,0.693147,0.5,0.005208,0.057292,0.677083,0.260417
02-014-1-20,02-014,NO,2015,Inline,N,NO,NO,NO,2008,13,7,1619.58,950,Fraser,North,8102,8.1,0,1.019940495,17.32899708,NA,3,1,2,0,0,0.006536,0,0.993464,0
Eburne_Slough-1-14,ES,NO,2021,Protruding,N,NO,NO,NO,2013,8,8,2569.27,5937,Fraser,North,5954,5.95,3,1.82,11.42097,NA,3,1,2,0,0,0.006623,0.662252,0.331126,0
REF3-1-5,REF3,YES,2021,Inline,N,NO,NO,NO,NA,NA,NA,9924,NA,Fraser,Main,38345,38.35,1,1.31,23.72399,NA,3,1,2,0,0,0.006623,0,0.993377,0
13-002-1-7,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,0.540143,46.433,NA,10,3,7,1.098612,0.666667,0.006897,0.531034,0.462069,0
13-002-1-10,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,1.079576,59.912,NA,5,1,4,0,0,0.008264,0,0.991736,0
Ref9-1-19,REF9,YES,2021,Embayment,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,15597,15.6,2,1.728616,11.29345,44,8,3,5,1.098612,0.666667,0.008696,0.930435,0.06087,0
09-003-1-16,09-003,NO,2021,Basin,Y,NO,NO,NO,1990,31,31,59309,60349,Fraser,Main,10403,10.4,0,0.100418,12.529,NA,3,1,2,0,0,0.009009,0,0.990991,0
13-002-1-125,13-002,NO,2021,Protruding,N,NO,NO,YES,1991,30,30,21741.89,18569,Fraser,Main,26555,26.56,3,1.039571,19.842,NA,7,3,4,1.098612,0.666667,0.009524,0.95873,0.031746,0
11-001-1-16,11-001,NO,2021,Inline,N,YES,NO,NO,1984,37,37,2447.67,NA,Fraser,Main,21208,21.21,3,0.29945,2.412796,NA,6,4,2,1.386294,0.75,0.009662,0.990338,0,0
REF-2015-11-1-02,REF-2015-11,YES,2015,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,23035,23.04,2,1.149999976,43.61472621,NA,3,1,2,0,0,0.010101,0,0.909091,0.080808
02-005-D-2-1,02-005D,NO,2015,Protruding,N,NO,NO,YES,1992,29,23,193.97,1524,Fraser,North,16143,16.14,1,0.500084817,1.39385561,NA,4,1,3,0,0,0.010753,0.967742,0.010753,0.010753
Frenchies-1-7-04A,FR,NO,2021,Basin,Y,YES,NO,YES,2010,11,11,19100.32,NA,Fraser,Main,7640,7.64,0,0.417885,113.632,NA,2,1,1,0,0,0.012346,0,0.987654,0
Ref4-1-10,REF4,YES,2021,Inline,N,NO,NO,NO,NA,NA,NA,NA,NA,Fraser,Main,36055,36.06,1,1.67,6.341517,NA,6,3,3,0.566086,0.291667,0.012474,0,0.987526,0
