PLOT_CODE,TYPHA_PRESENT,SITE,REFERENCE,SAMPLE_YEAR,TYPE,INLAND,SHEAR_BOOM,LOG_FENCE,OFFSHORE_STRUCTURE,CREATION_YR,AGE,SAMPLING_AGE,AREA_MAPPED,AREA_INTENDED,RIVER,ARM,M_UPRIVER,KM_UPRIVER,GRAZING,ELEVATION,PROX_CHAN,CARELYN_MH,ALL_RICH,NAT_RICH,NN_RICH,SHANN,SIMP,RC_Native,RC_NonNative,RC_Invasive,RC_Unknown
02-001-3-7,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.520121753,6.055610838,63,9,5,4,0.216343,0.075074,85.2459,10.6557,4.0984,0
02-001-2-17,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.53000927,42.69965801,NA,1,0,1,0,1,0,100,0,0
02-001-3-3,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.560043454,8.900231677,NA,0,0,0,0,1,NA,NA,NA,NA
02-001-2-30,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.569998026,29.28170371,NA,2,0,2,0,1,0,50,50,0
02-001-3-15,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.580040932,6.408874996,51,11,7,4,1.417051,0.695313,64,9.3333,26.6667,0
02-001-2-1,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.630083561,8.569464504,NA,2,1,1,0,0,14.2857,0,85.7143,0
02-001-2-18,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.640004337,21.32799034,NA,5,3,2,0.867563,0.5,18.75,75,6.25,0
02-001-1-40,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.660033345,32.96723393,134,4,3,1,0.995027,0.592593,99.4475,0.5525,0,0
02-001-1-38,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.680007041,34.82564924,184,6,4,2,0.608296,0.288438,97.561,1.2195,0,1.2195
02-001-3-1,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.680030465,11.53454462,NA,0,0,0,0,1,NA,NA,NA,NA
02-001-3-6,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.690098405,9.405980293,56,8,4,4,1.046922,0.567108,46,26,28,0
02-001-1-33,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.710033298,34.76691179,171,6,3,3,0.84278,0.483471,48.8889,1.1111,50,0
02-001-1-3,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.740012884,21.01542375,141,6,3,3,0.837897,0.536862,26.9006,18.1287,54.9708,0
02-001-3-2,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.760023236,10.38873494,NA,0,0,0,0,1,NA,NA,NA,NA
02-001-1-2,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.790003538,32.60761658,167,8,4,4,0.736182,0.434048,89.4737,7.3684,2.1053,1.0526
02-001-1-20,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.800013542,46.6375822,NA,6,3,3,0.739911,0.50477,89.2157,3.9216,3.9216,2.9412
02-001-1-26,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.839960694,34.9875738,153,5,3,2,0.844381,0.529974,78.3217,20.979,0,0.6993
02-001-3-4,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.840057075,12.64504605,NA,5,3,2,0.755983,0.458678,66.6667,0,33.3333,0
02-001-3-5,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.850038469,12.70189003,NA,4,1,3,0,0,5.2632,2.6316,92.1053,0
02-001-1-36,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.880021036,33.63851516,135,7,4,3,1.055507,0.635728,97.5634,1.462,0,0.9747
02-001-1-16,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.900076091,31.64679052,NA,7,4,3,1.051752,0.60503,47.0588,45.7014,7.2398,0
02-001-1-22,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.920010686,57.87693016,NA,12,6,6,0.913717,0.445348,54.6053,40.7895,3.9474,0.6579
02-001-1-29,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.980033815,24.98535091,96,12,8,4,0.958893,0.421078,44.8,28,15.2,12
02-001-1-23,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,0.99000001,66.47706835,126,9,6,3,1.131235,0.535396,38.6792,52.8302,8.4906,0
02-001-1-24,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,1.009994626,17.37518354,48,14,7,7,1.844621,0.828402,15.2941,10.5882,58.8235,15.2941
02-001-1-5,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,1.009995341,19.40497164,85,5,3,2,0.419556,0.203018,13.5,82.5,4,0
02-001-1-28,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,1.00999999,47.99018181,NA,11,6,5,0.925716,0.424148,94.3662,2.1127,1.4085,2.1127
02-001-3-8,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,1.010062337,11.6559699,NA,3,1,2,0,0,10.5263,0,78.9474,10.5263
02-001-3-31,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,1.050044537,13.49612184,69,3,2,1,0.666278,0.473373,68.4211,0,31.5789,0
02-001-1-27,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,1.069963098,42.50968625,158,6,5,1,0.645275,0.295556,56.0748,43.9252,0,0
02-001-1-10,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,1.070034266,25.38505475,NA,7,4,3,0.500618,0.24789,40.6114,44.5415,14.8472,0
02-001-1-13,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,1.099979281,53.21483305,NA,7,5,2,1.258632,0.64373,47,45,8,0
02-001-1-6,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,1.099995375,31.02839418,112,6,3,3,0.876006,0.540816,15.3005,49.7268,34.9727,0
02-001-1-37,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,1.129973412,36.72567939,89,8,4,4,0.370954,0.16554,96.0227,3.4091,0,0.5682
02-001-1-21,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,1.129989505,42.78587028,99,10,6,4,1.124544,0.592628,47.9167,44.7917,7.2917,0
02-001-1-25,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,1.130012631,33.69301311,90,10,6,4,1.193865,0.622249,35.3448,51.7241,6.0345,6.8966
02-001-1-7,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,1.150019526,23.15237007,163,13,10,3,1.785929,0.77683,54.1985,24.4275,18.3206,3.0534
02-001-1-14,no,02-001,NO,2015,Protruding,No,NO,NO,YES,1988,33,27,15661.72,635,Fraser,NORTH,10461,10.46,3,1.219967484,24.85187828,167,8,4,4,0.468123,0.214965,55.2846,30.8943,5.6911,8.1301
02-002-1-10,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,0.589999974,6.056591019,NA,20,12,8,1.798546,0.735352,34.2246,36.3636,23.5294,5.8824
02-002-1-13,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,0.879999995,12.77057513,NA,4,2,2,0.387212,0.226843,71.875,0,25,3.125
02-002-1-14,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,0.899999976,6.903794728,NA,11,7,4,1.227055,0.536296,81.0811,11.7117,7.2072,0
02-002-1-08,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,0.920000017,15.13062119,NA,2,2,0,0.191444,0.090703,100,0,0,0
02-002-1-09,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,1.129999995,15.6654276,NA,5,4,1,1.075291,0.58264,85.2941,0,0,14.7059
02-002-1-05,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,1.149999976,15.83847492,132,10,7,3,1.132123,0.49555,70.6667,6.6667,22.6667,0
02-002-1-01,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,1.169999957,8.328887679,98,11,8,3,1.460362,0.672018,85.022,7.9295,1.7621,5.2863
02-002-1-02,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,1.179999948,12.74575093,94,10,6,4,1.194447,0.631597,91.9831,5.0633,2.5316,0.4219
02-002-1-03,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,1.190000057,13.48890728,114,10,6,4,0.838179,0.424082,91.4414,7.6577,0.9009,0
02-002-1-06,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,1.200000048,16.80248404,125,14,8,6,1.273653,0.639144,74.8718,14.8718,4.1026,6.1538
02-002-1-11,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,1.200000048,8.452949664,96,13,9,4,1.699171,0.781684,78.3069,18.5185,0,3.1746
02-002-1-07,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,1.220000029,13.03092645,101,18,10,8,1.686904,0.736607,61.5385,18.6813,13.1868,6.5934
02-002-1-12,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,1.24000001,13.4869575,NA,5,4,1,0.500418,0.242646,85.2632,0,14.7368,0
02-002-1-15,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,1.25999999,16.30665996,120,11,7,4,1.717392,0.796051,83.1325,14.4578,0,2.4096
02-002-1-04,no,02-002,NO,2015,Embayment,No,NO,NO,YES,1989,32,26,596.27,15400,Fraser,NORTH,12358,12.36,1,1.330000043,14.66156556,120,12,6,6,1.482367,0.74481,77.2727,18.1818,0,4.5455
02-003-A-1-7,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,0.769999981,5.287263598,82,7,5,2,1.113318,0.601307,69.863,30.137,0,0
02-003-A-1-9,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,0.939999998,3.295234184,128,6,5,1,0.941838,0.531231,98.7952,0,1.2048,0
02-003-A-1-8,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,1.039999962,6.126637992,NA,12,6,6,1.482298,0.728468,23.0769,55.6213,9.4675,11.8343
02-003-A-1-5,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,1.049999952,15.03885976,105,12,8,4,1.338465,0.672336,63.6364,10.101,26.2626,0
02-003-A-1-11,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,1.090000033,3.965512509,110,11,8,3,1.130932,0.476029,70.5426,13.1783,0,16.2791
02-003-A-1-2,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,1.149999976,2.381021771,94,6,4,2,0.651459,0.406943,81.7204,0,7.5269,10.7527
02-003-A-1-1,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,1.190000057,14.47086224,NA,7,3,4,0.766409,0.428316,78.8462,11.5385,3.8462,5.7692
02-003-A-1-6,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,1.200000048,8.488220133,95,11,5,6,0.602127,0.284219,78.5714,12.0879,5.4945,3.8462
02-003-A-1-13,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,1.220000029,9.24376525,115,6,3,3,0.740437,0.472255,65.5319,31.9149,2.5532,0
02-003-A-1-10,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,1.25999999,13.91848892,230,8,4,4,0.953473,0.569527,67.0968,3.2258,29.6774,0
02-003-A-1-4,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,1.25999999,8.194166998,65,10,7,3,1.137537,0.58284,57.3529,27.9412,14.7059,0
02-003-A-1-14,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,1.379999995,17.1225908,128,10,8,2,1.223458,0.541524,77.8656,18.1818,3.9526,0
02-003-A-1-3,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,1.429999948,18.71565348,97,13,9,4,1.360822,0.649104,64.497,11.8343,17.7515,5.9172
02-003-A-1-12,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,1.549999952,17.81802768,163,10,6,4,0.494895,0.196787,80.5085,0,11.0169,8.4746
02-003-A-1-15,no,02-003A,NO,2015,Inline,No,NO,NO,YES,1992,29,23,5273.9,7755,Fraser,NORTH,13054,13.05,1,1.909999967,11.1865764,160,11,6,5,0.736764,0.339204,62.3616,16.9742,15.4982,5.1661
02-003-B-2-3,yes,02-003B,NO,2015,Inline,No,YES,NO,YES,1992,29,23,4094,7755,Fraser,NORTH,14255,14.26,3,0.349999994,5.041566006,NA,9,7,2,1.637566,0.772309,78.1818,14.5455,7.2727,0
02-003-B-2-4,yes,02-003B,NO,2015,Inline,No,YES,NO,YES,1992,29,23,4094,7755,Fraser,NORTH,14255,14.26,3,0.370000005,6.131996859,NA,8,6,2,1.504417,0.751,90.4762,6.3492,3.1746,0
02-003-B-1-3,yes,02-003B,NO,2015,Inline,No,YES,NO,YES,1992,29,23,4094,7755,Fraser,NORTH,14255,14.26,3,0.430000007,36.33333331,NA,5,2,3,0.450561,0.277778,16.6667,13.8889,69.4444,0
02-003-B-2-5,yes,02-003B,NO,2015,Inline,No,YES,NO,YES,1992,29,23,4094,7755,Fraser,NORTH,14255,14.26,3,0.449999988,2.154755684,NA,8,6,2,1.453977,0.728468,66.1017,3.3898,30.5085,0
02-003-B-1-7,yes,02-003B,NO,2015,Inline,No,YES,NO,YES,1992,29,23,4094,7755,Fraser,NORTH,14255,14.26,3,0.589999974,39.66150015,208,6,4,2,1.17988,0.641975,71.0526,0,21.0526,7.8947
02-003-B-1-1,yes,02-003B,NO,2015,Inline,No,YES,NO,YES,1992,29,23,4094,7755,Fraser,NORTH,14255,14.26,3,0.939999998,15.2932021,170,6,2,4,0.636514,0.444444,4.1667,0,94.4444,1.3889
